post_id,topic,tfidf_mean,tfidf_max,d2v_1,d2v_2,d2v_3,d2v_4,d2v_5,d2v_6,d2v_7,d2v_8,d2v_9,d2v_10,d2v_11,d2v_12,d2v_13,d2v_14,d2v_15,d2v_16,d2v_17,d2v_18,d2v_19,d2v_20
9,0.0474303830493757,0.0482961340100604,1.4706799344707264,0.3087489902973175,-1.5436826944351196,1.845620393753052,7.442591190338135,-4.720159530639648,-7.173055171966553,-4.291990756988525,-1.865476369857788,-5.564278602600098,-1.650758981704712,3.11116099357605,-3.3011255264282227,-2.5697827339172363,2.512866735458374,-1.3690032958984375,0.6613039970397949,-0.5098143815994263,-9.198007583618164,3.588583946228028,-1.5867923498153689
10,0.0474303830493757,0.2379302042620321,1.6529200592304671,-1.562608003616333,-1.045942306518555,3.725369453430176,7.0976996421813965,-6.101133346557617,-1.6801122426986694,-5.814850807189941,-1.1205724477767944,-4.312564373016357,-3.5743207931518555,1.2514283657073977,-1.8635334968566892,-2.4080750942230225,2.200731039047241,0.5785438418388367,2.2963674068450928,-0.5789126753807068,-7.551063537597656,3.358435869216919,-5.441306591033936
11,0.0474303830493757,0.4835948823651642,1.9916342481933995,-2.9926719665527344,-0.5298941135406494,-3.3103504180908203,1.7473212480545044,-4.116423606872559,-4.890219211578369,3.6943960189819336,7.769225597381592,-7.173803806304932,-6.011661052703857,2.313753843307495,-2.6448652744293213,-0.2861618101596832,-0.9302072525024414,1.7261433601379397,1.1819766759872437,-2.184299945831299,-3.730198383331299,5.437029838562012,0.7609798908233643
15,0.0474303830493757,0.5341634870682996,0.2131935145070384,-5.842734336853027,-5.205890655517578,-3.843116283416748,-0.786394476890564,-10.142436981201172,-5.08561372756958,0.4798455238342285,4.959367275238037,-8.614578247070312,-4.169490814208984,4.266039371490479,-5.024603366851807,-3.647336721420288,-4.538113594055176,-3.220176696777344,-0.5060257911682129,-2.614333152770996,-1.1471455097198486,0.0416273102164268,-2.8990120887756348
16,0.0474303830493757,0.1068962111199599,1.3075592128180349,-4.503420829772949,-3.1628997325897217,-3.934638500213623,2.1390786170959477,-6.345460414886475,-4.82974100112915,3.6015586853027344,5.950813293457031,-0.9894686937332152,-4.806825160980225,1.306884527206421,1.6492888927459717,1.4652550220489502,-0.8416690230369568,2.3117446899414062,-2.5049517154693604,5.057405948638916,-4.699169635772705,3.357102394104004,-8.9157133102417
17,0.0474303830493757,0.3085609957988972,1.2924973405721163,-2.575566053390503,-1.5217055082321167,-0.0267915874719619,2.5530495643615723,-4.995388031005859,-5.5366950035095215,6.429032802581787,3.54519271850586,-4.97899341583252,-1.8299736976623533,1.2416831254959106,0.2189154028892517,-3.058546781539917,-1.8527027368545528,4.695634841918945,-4.213319301605225,0.3845828771591186,-4.561017990112305,2.4852850437164307,-4.305356979370117
18,0.0474303830493757,0.8340224293875982,0.8857694947471245,-2.370525360107422,-4.0627546310424805,1.6541234254837036,7.245693683624268,-7.086813926696777,-7.062608242034912,-5.351440906524658,-1.808131456375122,-4.499809265136719,-3.247588396072388,-1.0526407957077026,-0.1642615795135498,1.3603854179382324,-1.8834012746810915,-0.068346120417118,0.5435226559638977,1.744315266609192,-7.496668338775635,2.541147470474243,-2.4570953845977783
19,0.0474303830493757,0.4991422219053236,-0.1664684031615907,-3.766118049621582,1.2184805870056152,-1.4943337440490725,-0.2446938455104828,-3.240317821502685,-5.8877434730529785,6.1611151695251465,8.278192520141602,-4.796632766723633,-13.090081214904783,5.934539794921875,-2.2367420196533203,0.1314170211553573,-1.1419674158096311,-0.9795325398445128,5.293859958648682,-4.193491458892822,-4.132142543792725,-0.2660154402256012,-1.561077356338501
2367,0.5405491639093988,-1.445144272195775,0.2852363287588612,1.5320645570755005,-3.314792394638061,-1.3352009057998655,1.8406603336334229,-0.3199649155139923,-0.6141471266746521,1.717256784439087,-0.5634815096855164,-1.643608331680298,-0.1189562305808067,0.6286724805831909,-0.916206955909729,-2.6900076866149902,-0.8160873055458069,-0.2548082172870636,4.730278968811035,0.2577318251132965,-2.091381072998047,1.905138373374939,-1.9439501762390137
2368,0.5405491639093988,-1.33586740040341,0.0225640002454497,-0.2980227768421173,-2.618276357650757,0.2890918552875519,1.2623714208602903,-1.6919052600860596,-0.4002822339534759,-1.4441431760787964,1.2642018795013428,-0.8647639155387878,-1.459618330001831,-0.4120061695575714,-2.752036571502685,-3.193106412887573,-1.286751627922058,-0.1282800883054733,2.8439383506774902,-0.8648855686187744,-1.0859965085983276,2.208263635635376,-3.033958673477173
2369,0.5405491639093988,-1.3212319747464374,-0.0508779288584639,1.905673146247864,-2.598414659500122,0.0534799918532371,1.5646535158157349,-0.5032556653022766,0.8760824203491211,2.194714307785034,0.3928656578063965,-3.5058815479278564,-1.3768293857574463,1.3585104942321775,-2.041079044342041,-1.1930274963378906,-0.8286718130111694,0.7709232568740845,2.6705691814422607,1.846827864646912,0.0425848476588726,-0.6087119579315186,-0.1874950975179672
2370,0.5405491639093988,-1.854614840097199,2.674239474843162,-0.2326061874628067,0.6605013608932495,-2.309993267059326,0.7549797296524048,-0.41536945104599,-0.3402330279350281,-0.2446177452802658,0.5007331967353821,-1.6610236167907717,-0.49104705452919,0.0884938836097717,-0.9800201058387756,-0.8976514935493469,-0.5262336730957031,0.7361750602722168,1.4512512683868408,0.7265873551368713,-0.5599963068962097,-1.117890238761902,0.1799636930227279
20,0.0474303830493757,0.5930836308616142,0.2609201918886724,-0.720401406288147,-2.361217737197876,1.0466550588607788,2.876451015472412,-7.619470596313477,-6.165786743164063,-2.075979709625244,3.47104287147522,-9.251795768737791,-7.37770414352417,4.251364707946777,-4.283095359802246,2.77919340133667,-0.4243274927139282,-7.544029712677002,1.7927672863006592,0.3267312347888946,-5.965724945068359,2.38106369972229,-0.5851668119430542
21,0.0474303830493757,0.3291236309175853,0.3631153136508978,-5.109779357910156,-3.4355268478393555,-1.5512397289276123,8.979137420654297,-8.246591567993164,-0.3120436072349548,-2.692709445953369,3.143566846847534,-3.550839424133301,-5.023380279541016,1.459286332130432,0.1830207705497741,-1.0394777059555054,2.870674133300781,-2.5375871658325195,1.2712839841842651,1.3884577751159668,-8.053789138793945,5.846529960632324,-4.850356101989746
